index,uuid,num_achievements,num_exercises,num_points,Click,Group,Button,Banner
0,981943945,37,166,254,1,CurrentAd,No,Yes
2,981944745,93,308,381,0,CurrentAd,No,Yes
3,981944801,91,260,306,0,CurrentAd,No,Yes
4,981944857,15,424,435,0,CurrentAd,No,Yes
6,981960025,41,293,374,0,CurrentAd,No,Yes
7,981954313,71,341,140,1,CurrentAd,No,Yes
9,981949961,60,547,18,0,CurrentAd,No,Yes
10,981952689,9,411,12,0,CurrentAd,No,Yes
13,982000809,65,62,247,0,CurrentAd,No,Yes
14,981990857,72,380,496,1,CurrentAd,No,Yes
17,982001217,46,20,315,0,CurrentAd,No,Yes
18,982001329,36,61,117,0,CurrentAd,No,Yes
19,981963177,82,35,151,0,CurrentAd,No,Yes
21,982001825,64,315,171,0,CurrentAd,No,Yes
23,982002065,46,101,15,0,CurrentAd,No,Yes
25,981992753,17,464,336,0,CurrentAd,No,Yes
26,981993033,9,473,591,0,CurrentAd,No,Yes
27,981993089,85,681,354,1,CurrentAd,No,Yes
30,981993273,91,463,684,0,CurrentAd,No,Yes
31,982003081,64,549,362,0,CurrentAd,No,Yes
33,982003289,52,164,34,0,CurrentAd,No,Yes
34,981993505,6,133,151,0,CurrentAd,No,Yes
35,982003377,13,7,100,0,CurrentAd,No,Yes
36,981965433,67,549,392,0,CurrentAd,No,Yes
39,981965545,56,104,671,0,CurrentAd,No,Yes
40,981984121,24,658,639,0,CurrentAd,No,Yes
45,982004745,69,554,563,0,CurrentAd,No,Yes
47,981995417,31,439,263,0,CurrentAd,No,Yes
48,981967465,82,331,312,1,CurrentAd,No,Yes
50,981967593,73,28,155,0,CurrentAd,No,Yes
51,982005537,46,590,684,0,CurrentAd,No,Yes
52,981986425,90,396,274,0,CurrentAd,No,Yes
53,982005649,97,269,478,0,CurrentAd,No,Yes
56,981996577,75,153,629,0,CurrentAd,No,Yes
57,982006169,72,694,41,0,CurrentAd,No,Yes
58,981987193,59,330,85,0,CurrentAd,No,Yes
61,981969521,26,186,471,0,CurrentAd,No,Yes
62,981998489,79,672,390,0,CurrentAd,No,Yes
63,981970705,41,196,611,0,CurrentAd,No,Yes
67,961632056,1,485,162,0,CurrentAd,No,Yes
68,961632208,74,543,276,0,CurrentAd,No,Yes
69,961648048,69,624,403,0,CurrentAd,No,Yes
70,961648232,65,398,200,0,CurrentAd,No,Yes
71,961637880,89,111,283,0,CurrentAd,No,Yes
72,961632968,21,621,76,0,CurrentAd,No,Yes
73,961643304,18,576,653,0,CurrentAd,No,Yes
75,961638832,60,573,659,0,CurrentAd,No,Yes
76,961644264,39,175,390,0,CurrentAd,No,Yes
79,961645392,6,126,107,0,CurrentAd,No,Yes
80,961639888,74,608,217,0,CurrentAd,No,Yes
81,961650432,57,472,22,0,CurrentAd,No,Yes
82,961629488,15,54,136,0,CurrentAd,No,Yes
83,961645664,53,213,150,0,CurrentAd,No,Yes
84,961650656,36,376,191,0,CurrentAd,No,Yes
85,961630040,44,550,69,0,CurrentAd,No,Yes
88,961651288,45,530,521,0,CurrentAd,No,Yes
89,961651488,71,350,444,0,CurrentAd,No,Yes
92,961636856,4,465,284,0,CurrentAd,No,Yes
93,961636976,67,67,610,0,CurrentAd,No,Yes
94,961652640,14,551,593,0,CurrentAd,No,Yes
96,961652912,76,393,547,0,CurrentAd,No,Yes
97,961663352,3,394,448,0,CurrentAd,No,Yes
99,961691656,6,693,171,0,CurrentAd,No,Yes
100,961672840,96,624,421,0,CurrentAd,No,Yes
104,961673752,79,386,621,0,CurrentAd,No,Yes
105,961664632,0,283,75,0,CurrentAd,No,Yes
107,961674176,61,26,115,0,CurrentAd,No,Yes
110,961684168,26,93,534,0,CurrentAd,No,Yes
112,961693640,35,657,692,0,CurrentAd,No,Yes
113,961665888,74,373,74,0,CurrentAd,No,Yes
114,961685184,67,54,228,0,CurrentAd,No,Yes
115,961685472,95,542,118,0,CurrentAd,No,Yes
118,961676000,41,385,121,0,CurrentAd,No,Yes
120,961667088,29,383,135,0,CurrentAd,No,Yes
121,961667192,8,294,147,0,CurrentAd,No,Yes
122,961695632,79,413,20,0,CurrentAd,No,Yes
123,961667416,25,489,429,0,CurrentAd,No,Yes
128,981944697,65,629,3,0,CurrentAd,No,Yes
130,981945129,37,618,60,0,CurrentAd,No,Yes
132,981949769,85,642,67,0,CurrentAd,No,Yes
134,981961945,58,199,383,0,CurrentAd,No,Yes
136,981980777,33,561,147,0,CurrentAd,No,Yes
140,981972601,82,691,348,0,CurrentAd,No,Yes
143,982002129,29,692,404,0,CurrentAd,No,Yes
144,981982689,12,27,326,0,CurrentAd,No,Yes
145,981964433,57,261,464,0,CurrentAd,No,Yes
147,981992897,43,55,98,0,CurrentAd,No,Yes
149,981993105,92,689,628,0,CurrentAd,No,Yes
150,981983433,0,458,481,0,CurrentAd,No,Yes
153,981965481,69,431,687,0,CurrentAd,No,Yes
154,981984361,84,318,156,0,CurrentAd,No,Yes
156,981966009,73,579,342,0,CurrentAd,No,Yes
158,982003977,30,478,439,0,CurrentAd,No,Yes
159,981984769,97,488,588,0,CurrentAd,No,Yes
163,981976185,62,215,438,0,CurrentAd,No,Yes
164,981967337,65,389,171,0,CurrentAd,No,Yes
166,981986105,79,143,141,0,CurrentAd,No,Yes
168,981996041,59,600,328,0,CurrentAd,No,Yes
170,981986641,94,177,524,0,CurrentAd,No,Yes
171,981968081,53,149,560,0,CurrentAd,No,Yes
172,981968153,88,694,15,0,CurrentAd,No,Yes
174,981986937,54,484,298,0,CurrentAd,No,Yes
175,981996985,61,615,530,0,CurrentAd,No,Yes
176,981996993,64,241,594,0,CurrentAd,No,Yes
177,981987417,12,159,405,0,CurrentAd,No,Yes
178,981978281,13,662,583,0,CurrentAd,No,Yes
180,981969633,6,341,588,0,CurrentAd,No,Yes
182,981979433,45,454,596,0,CurrentAd,No,Yes
183,981970497,94,326,139,0,CurrentAd,No,Yes
184,982008633,89,386,600,0,CurrentAd,No,Yes
188,981980361,61,43,170,0,CurrentAd,No,Yes
191,961642560,42,232,523,0,CurrentAd,No,Yes
192,961637480,96,49,574,0,CurrentAd,No,Yes
193,961648000,67,644,638,0,CurrentAd,No,Yes
194,961626880,48,587,11,0,CurrentAd,No,Yes
196,961632752,61,186,86,0,CurrentAd,No,Yes
200,961649544,55,464,39,0,CurrentAd,No,Yes
201,961634112,41,422,226,0,CurrentAd,No,Yes
203,961628696,70,71,352,0,CurrentAd,No,Yes
204,961644664,70,615,256,0,CurrentAd,No,Yes
205,961634432,21,290,149,0,CurrentAd,No,Yes
206,961634496,60,522,401,0,CurrentAd,No,Yes
207,961634688,82,445,420,0,CurrentAd,No,Yes
208,961650224,70,532,454,1,CurrentAd,No,Yes
209,961639984,14,355,636,0,CurrentAd,No,Yes
212,961646152,96,322,222,0,CurrentAd,No,Yes
213,961646208,46,198,248,0,CurrentAd,No,Yes
214,961641000,92,289,281,0,CurrentAd,No,Yes
215,961646440,5,395,418,0,CurrentAd,No,Yes
217,961651472,59,98,436,0,CurrentAd,No,Yes
218,961630440,70,82,466,0,CurrentAd,No,Yes
220,961630624,32,203,427,0,CurrentAd,No,Yes
223,961652200,54,539,622,0,CurrentAd,No,Yes
224,961641688,39,546,1,0,CurrentAd,No,Yes
226,961652320,67,260,84,0,CurrentAd,No,Yes
227,961641792,76,651,669,0,CurrentAd,No,Yes
229,961641856,12,54,41,0,CurrentAd,No,Yes
230,961631424,52,276,115,0,CurrentAd,No,Yes
231,961636872,28,540,185,0,CurrentAd,No,Yes
233,961631592,35,416,127,0,CurrentAd,No,Yes
235,961653816,1,566,408,0,CurrentAd,No,Yes
237,961691848,41,231,124,0,CurrentAd,No,Yes
238,961692096,22,640,650,0,CurrentAd,No,Yes
239,961682912,27,630,594,0,CurrentAd,No,Yes
240,961692352,57,68,209,0,CurrentAd,No,Yes
241,961673464,29,648,302,0,CurrentAd,No,Yes
242,961654976,4,150,576,0,CurrentAd,No,Yes
243,961693048,27,285,464,0,CurrentAd,No,Yes
244,961664960,2,182,14,0,CurrentAd,No,Yes
247,961693608,58,671,447,0,CurrentAd,No,Yes
249,961684352,59,674,27,0,CurrentAd,No,Yes
250,961665648,64,70,376,0,CurrentAd,No,Yes
251,961656280,95,659,166,0,CurrentAd,No,Yes
253,961684904,44,541,189,0,CurrentAd,No,Yes
254,961666344,71,260,680,0,CurrentAd,No,Yes
255,961685024,55,485,302,0,CurrentAd,No,Yes
257,961666592,43,358,210,0,CurrentAd,No,Yes
258,961685344,18,276,77,0,CurrentAd,No,Yes
260,961685728,2,507,314,0,CurrentAd,No,Yes
262,961667424,13,381,406,0,CurrentAd,No,Yes
263,961667880,6,475,588,0,CurrentAd,No,Yes
265,961696720,68,406,245,0,CurrentAd,No,Yes
266,961696920,24,311,620,0,CurrentAd,No,Yes
270,961659720,50,219,669,0,CurrentAd,No,Yes
272,981945857,2,249,136,0,CurrentAd,No,Yes
273,981950465,99,679,23,0,CurrentAd,No,Yes
274,981950473,56,370,457,0,CurrentAd,No,Yes
275,981953281,65,234,391,0,CurrentAd,No,Yes
276,981953377,27,694,515,0,CurrentAd,No,Yes
278,981951201,1,254,667,0,CurrentAd,No,Yes
282,981960481,99,46,516,0,CurrentAd,No,Yes
283,981961209,70,392,175,0,CurrentAd,No,Yes
285,981961953,26,520,263,0,CurrentAd,No,Yes
286,981980649,90,332,528,0,CurrentAd,No,Yes
289,981980889,64,310,94,0,CurrentAd,No,Yes
293,981981569,35,355,188,0,CurrentAd,No,Yes
295,981981857,56,214,630,0,CurrentAd,No,Yes
297,981963489,24,413,321,0,CurrentAd,No,Yes
298,981973057,12,148,486,0,CurrentAd,No,Yes
300,981991945,6,64,375,0,CurrentAd,No,Yes
301,981982313,71,402,387,0,CurrentAd,No,Yes
306,981973929,84,430,244,0,CurrentAd,No,Yes
307,981992601,40,478,143,0,CurrentAd,No,Yes
309,982003073,17,165,562,0,CurrentAd,No,Yes
311,981965105,80,207,459,0,CurrentAd,No,Yes
313,981974657,44,72,501,0,CurrentAd,No,Yes
315,982003945,16,320,463,0,CurrentAd,No,Yes
317,981975305,3,225,504,0,CurrentAd,No,Yes
319,981966409,78,325,116,0,CurrentAd,No,Yes
321,981995049,60,269,677,0,CurrentAd,No,Yes
322,981985329,77,94,690,0,CurrentAd,No,Yes
323,981985353,64,276,72,0,CurrentAd,No,Yes
324,982004633,28,635,346,0,CurrentAd,No,Yes
325,981985625,83,604,240,0,CurrentAd,No,Yes
328,981967041,52,9,258,0,CurrentAd,No,Yes
329,981967257,86,578,597,0,CurrentAd,No,Yes
333,981995929,0,489,438,0,CurrentAd,No,Yes
336,981968105,52,283,529,0,CurrentAd,No,Yes
338,981968529,80,160,607,0,CurrentAd,No,Yes
339,981997473,51,368,176,0,CurrentAd,No,Yes
340,981997705,17,272,318,0,CurrentAd,No,Yes
342,981987801,76,318,262,0,CurrentAd,No,Yes
345,981979041,29,215,277,0,CurrentAd,No,Yes
347,981979137,62,652,316,0,CurrentAd,No,Yes
349,981969969,47,609,159,0,CurrentAd,No,Yes
350,981979529,16,113,45,0,CurrentAd,No,Yes
351,981988825,0,334,579,0,CurrentAd,No,Yes
352,982008649,33,615,79,0,CurrentAd,No,Yes
353,981999609,27,391,266,0,CurrentAd,No,Yes
355,982009177,89,393,634,0,CurrentAd,No,Yes
356,982009273,5,289,452,1,CurrentAd,No,Yes
359,961626472,66,141,546,0,CurrentAd,No,Yes
