index,uuid,num_achievements,num_exercises,num_points,Click,Group,Button,Banner
8,981949649,0,0,0,0,A,No,No
15,981972297,0,0,0,0,A,No,No
22,981992089,0,0,0,0,A,No,No
32,981974489,0,0,0,0,A,No,No
38,981983905,0,0,0,0,A,No,No
59,981978457,0,0,0,0,A,No,No
74,961633288,0,0,0,0,A,No,No
86,961635568,0,0,0,0,A,No,No
90,961641672,0,0,0,0,A,No,No
101,961672864,0,0,0,0,A,No,No
102,961672872,0,0,0,0,A,No,No
108,961655568,0,0,0,0,A,No,No
117,961657432,0,0,0,0,A,No,No
124,961686688,0,0,0,0,A,No,No
126,981944321,0,0,0,0,A,No,No
129,981945081,0,0,0,0,A,No,No
138,982000721,0,0,0,0,A,No,No
146,982002705,0,0,0,0,A,No,No
152,981965457,0,0,0,0,A,No,No
157,981994193,0,0,0,0,A,No,No
167,981976841,0,0,0,0,A,No,No
169,982005745,0,0,0,0,A,No,No
181,981979353,0,0,0,0,A,No,No
185,981989257,0,0,0,0,A,No,No
198,961648640,0,0,0,0,A,No,No
210,961629840,0,0,0,1,A,No,No
211,961645864,0,0,0,0,A,No,No
221,961651896,0,0,0,0,A,No,No
228,961652384,0,0,0,0,A,No,No
232,961631464,0,0,0,1,A,No,No
264,961696472,0,0,0,0,A,No,No
268,961677680,0,0,0,0,A,No,No
277,981951169,0,0,0,0,A,No,No
279,981949417,0,0,0,0,A,No,No
281,981949473,0,0,0,0,A,No,No
288,981980857,0,0,0,0,A,No,No
290,982000865,0,0,0,0,A,No,No
299,982001841,0,0,0,0,A,No,No
303,981963977,0,0,0,0,A,No,No
310,981993321,0,0,0,0,A,No,No
314,981993673,0,0,0,0,A,No,No
331,981985961,0,0,0,0,A,No,No
332,981995889,0,0,0,0,A,No,No
334,981977009,0,0,0,0,A,No,No
343,981988201,0,0,0,0,A,No,No
346,981988401,0,0,0,0,A,No,No
348,981998905,0,0,0,0,A,No,No
370,961627776,0,0,0,1,A,No,No
373,961628864,0,0,0,0,A,No,No
377,961646328,0,0,0,0,A,No,No
405,961674344,0,0,0,0,A,No,No
413,961665968,0,0,0,0,A,No,No
433,961689344,0,0,0,0,A,No,No
